Year,Artist,Album,Song,Co-written with
2008,Carolina Liar,Coming to Terms,"""Beautiful World""","Tobias Karlsson, Chad Wolfinbarger"
2008,Carolina Liar,Coming to Terms,"""Best Friend's Girl""","Tobias Karlsson, Alexander Kronlund, Chad Wolfinbarger"
2008,Simple Plan,Simple Plan,"""Generation""","Simple Plan, Nate Hills, Arnold Lanni"
2008,Cyndi Lauper,Bring Ya to the Brink,"""Into the Nightlife""","Cyndi Lauper, Peer Åström, Johan Bobäck"
2008,Lesley Roy,Unbeautiful,"""I'm Gone I'm Going""","Lesley Roy, Johan Schuster, Alexander Kronlund"
2008,Lesley Roy,Unbeautiful,"""Here for You Now""",Lesley Roy
2008,Lesley Roy,Unbeautiful,"""Psycho Bitch""","Lesley Roy, Savan Kotecha"
2008,Lesley Roy,Unbeautiful,"""Slow Goodbye""","Lesley Roy, Lukasz Gottwald, Katy Perry"
2008,Lesley Roy,Unbeautiful,"""Thinking Out Loud""",Lesley Roy
2008,Lesley Roy,Unbeautiful,"""Dead But Breathing""","Lesley Roy, Camela Leierth, Per Aldeheim"
2008,Lesley Roy,Unbeautiful,"""Unbeautiful""","Rami Yacoub, Lesley Roy"
2008,Skye Sweetnam,Sound Soldier,"""Girl Like Me""","Skye Sweetnam, Lukasz Gottwald, Shelly Peiken"
2008,Pink,Funhouse,"""So What""","Alecia Moore, Johan Schuster"
2008,Pink,Funhouse,"""I Don't Believe You""",Alecia Moore
2008,Pink,Funhouse,"""Please Don't Leave Me""",Alecia Moore
2008,Pink,Funhouse,"""It's All Your Fault""","Alecia Moore, Johan Schuster"
2008,Pink,Funhouse,"""Boring""","Alecia Moore, Johan Schuster"
2008,Pink,Funhouse,"""Whataya Want from Me"" (Unreleased)","Alecia Moore, Johan Schuster"
2008,Vanessa Hudgens,Identified,"""Identified""","Lukasz Gottwald, Cathy Dennis"
2008,Sugababes,Catfights and Spotlights,"""Unbreakable Heart""",Klas Åhlund
2008,Britney Spears,Circus,"""If U Seek Amy""","Johan Schuster, Savan Kotecha, Alexander Kronlund"
2009,Kelly Clarkson,All I Ever Wanted,"""My Life Would Suck Without You""","Lukasz Gottwald, Claude Kelly"
2009,Dean,Desire,"""Hologram""","Tony Cornelissen, Per Aldeheim"
2009,Living Things,Habeas Corpus,"""Let It Rain""","Cory Becker, Josh Rothman, Jason Rothman, Yves Rothman"
2009,Living Things,Habeas Corpus,"""Oxygen""","Johan Schuster, Cory Becker, Josh Rothman, Jason Rothman, Yves Rothman"
2009,Mitchel Musso,Mitchel Musso,"""Do It Up""",Per Aldeheim
2009,Britney Spears,The Singles Collection,"""3""","Johan Schuster, Tiffany Amber"
2009,Backstreet Boys,This Is Us,"""Bigger""","Johan Schuster, Tiffany Amber"
2009,Leona Lewis,Echo,"""I Got You""","Arnthor Birgisson, Savan Kotecha"
2009,Leona Lewis,Echo,"""Outta My Head""","Johan Schuster, Savan Kotecha"
2009,Carrie Underwood,Play On,"""Quitter""","Johan Schuster, Savan Kotecha"
2009,Allison Iraheta,Just like You,"""Friday I'll Be Over U""","Johan Schuster, Tiffany Amber, Savan Kotecha"
2009,Allison Iraheta,Just like You,"""Just Like You""","Johan Schuster, Savan Kotecha"
2009,Adam Lambert,For Your Entertainment,"""Whataya Want from Me""","Alecia Moore, Johan Schuster"
2009,Adam Lambert,For Your Entertainment,"""If I Had You""","Johan Schuster, Savan Kotecha"
2009,Unsung Hero,,"""Get It Over With""","Sofi Bonde, Tobias Karlsson"
2009,Erik Hassle,Hassle,"""Love Me to Pieces""","Erik Hassle, Tommy Tysper, Reinhold Mack"
2010,Kesha,Animal,"""Kiss n Tell""","Kesha Sebert, Lukasz Gottwald, Johan Schuster"
2010,Kesha,Animal,"""Hungover""","Kesha Sebert, Johan Schuster"
2010,Kesha,Animal,"""D.I.N.O.S.A.U.R.""","Kesha Sebert, Johan Schuster"
2010,Kesha,Cannibal,"""Blow""","Kesha Sebert, Lukasz Gottwald, Benjamin Levin, Klas Åhlund, Allan Grigg"
2010,Kesha,Cannibal,"""Crazy Beautiful Life""","Kesha Sebert, Lukasz Gottwald, Pebe Sebert"
2010,Kesha,Cannibal,"""Grow a Pear""","Kesha Sebert, Lukasz Gottwald, Benjamin Levin"
2010,Miranda Cosgrove,Sparks Fly,"""Oh Oh""","Peer Åström, Savan Kotecha"
2010,Erik Grönwall,Somewhere Between a Rock and a Hard Place,"""In Spite of Me""","Rami Yacoub, Alexandra Talomaa, Marion Ravn"
2010,Katy Perry,Teenage Dream,"""California Gurls""","Lukasz Gottwald, Calvin Broadus, Katy Perry, Benjamin Levin, Bonnie McKee"
2010,Katy Perry,Teenage Dream,"""Teenage Dream""","Lukasz Gottwald, Katy Perry, Benjamin Levin, Bonnie McKee"
2010,Katy Perry,Teenage Dream,"""Last Friday Night (T.G.I.F.)""","Lukasz Gottwald, Bonnie McKee, Katy Perry"
2010,Katy Perry,Teenage Dream,"""The One That Got Away""","Lukasz Gottwald, Katy Perry"
2010,Katy Perry,Teenage Dream,"""E.T.""","Lukasz Gottwald, Joshua Coleman, Katy Perry"
2010,Taio Cruz,Rokstarr,"""Dynamite""","Taio Cruz, Lukasz Gottwald, Benjamin Levin, Bonnie McKee"
2010,Usher,Versus,"""DJ Got Us Fallin' in Love""","Johan Schuster, Savan Kotecha, Armando Christian Pérez"
2010,Pink,Greatest Hits... So Far!!!,"""Raise Your Glass""","Alecia Moore, Johan Schuster"
2010,Pink,Greatest Hits... So Far!!!,"""Fuckin' Perfect""","Alecia Moore, Johan Schuster"
2010,Linda Sundblad,Manifest,"""Making Out""",Linda Sundblad
2010,Linda Sundblad,Manifest,"""2 All My Girls""","Linda Sundblad, Alexander Kronlund"
2010,Robyn,Body Talk,"""Time Machine""","Robin Carlsson, Johan Schuster, Sophia Somajo"
2010,Shayne Ward,Obsession,"""Close to Close""","Arnthor Birgisson, Savan Kotecha"
2011,Britney Spears,Femme Fatale,"""Hold It Against Me""","Lukasz Gottwald, Bonnie McKee, Mathieu Jomphe-Lepine"
2011,Britney Spears,Femme Fatale,"""I Wanna Go""","Johan Schuster, Savan Kotecha"
2011,Britney Spears,Femme Fatale,"""Till the World Ends""","Alexander Kronlund, Kesha Sebert, Lukasz Gottwald"
2011,Britney Spears,Femme Fatale,"""Inside Out""","Lukasz Gottwald, Mathieu Jomphe-Lepine"
2011,Britney Spears,Femme Fatale,"""Seal It With a Kiss""","Lukasz Gottwald, Bonnie McKee, Henry Walter"
2011,Britney Spears,Femme Fatale,"""Criminal""","Johan Schuster, Tiffany Amber"
2011,Britney Spears,Femme Fatale,"""Up n' Down""","Johan Schuster, Savan Kotecha"
2011,Miranda Cosgrove,High Maintenance,"""Dancing Crazy""","Johan Schuster, Avril Lavigne"
2011,Fireal,The Dark Side,"""Breathe""","Per Aldeheim, Tuomas Miettinen, Caleb Daniel Lit"
2011,Avril Lavigne,Goodbye Lullaby,"""What the Hell""","Johan Schuster, Avril Lavigne"
2011,Avril Lavigne,Goodbye Lullaby,"""Wish You Were Here""","Johan Schuster, Avril Lavigne"
2011,Avril Lavigne,Goodbye Lullaby,"""Smile""","Johan Schuster, Avril Lavigne"
2011,Avril Lavigne,Goodbye Lullaby,"""I Love You""","Johan Schuster, Avril Lavigne"
2011,Glee Cast,"Glee: The Music, Volume 5","""Loser like Me""","Adam Anders, Peer Åström, Savan Kotecha, Johan Schuster"
2011,Glee Cast,"Glee: The Music, Volume 6","""Light Up the World""","Adam Anders, Peer Åström, Johan Schuster, Savan Kotecha"
2011,Those Dancing Days,Daydreams & Nightmares,"""Can't Find Entrance""","Johan Schuster, Cecilia Efraimsson, Marianne Evrell, Linnea Jonsson, Rebecka Rolfart, Lisa Wirstrom"
2011,BC Jean,TBD,"""I'll Survive You""","Johan Schuster, Savan Kotecha"
2011,BC Jean,TBD,"""Hate Me""","Johan Schuster, Britney Jean Carlson"
2011,Pitbull,Planet Pit,"""Come N Go""","Armando Christian Pérez, Lukasz Gottwald, Benjamin Levin, Enrique Iglesias"
2011,Cher Lloyd,Sticks + Stones,"""With Ur Love""","Johan Schuster, Savan Kotecha"
